date,DTE,DRL Ensemble,Dynamic Stock Recommendation,MACE,^NDX
2025-07-01,53.977116,31.263432,58.905524,24.649252,35.869277
2025-07-02,54.371839,31.673633,59.058045,25.588742,36.859124
2025-07-03,55.226184,32.864903,59.859694,26.647872,38.219623
2025-07-07,54.548807,31.599342,58.874159,25.632160,37.123146
2025-07-08,54.381664,32.294500,58.345491,26.251616,37.223967
2025-07-09,55.235656,31.343078,58.957144,25.295174,38.207168
2025-07-10,55.549761,28.960966,58.314916,22.813237,37.991679
2025-07-11,56.196968,28.472930,57.695938,22.274916,37.697552
2025-07-14,56.488992,29.986915,58.439760,23.915686,38.151079
2025-07-15,56.792900,29.976264,56.997172,23.863236,38.326122
2025-07-16,56.678063,29.114880,56.862048,23.069984,38.467448
2025-07-17,57.349203,29.492787,57.700462,23.481698,39.513632
2025-07-18,57.688059,29.520611,57.859884,23.526339,39.419458
2025-07-21,58.988095,29.549184,58.585614,23.539616,40.112097
2025-07-22,59.092402,28.458153,58.612896,22.568970,39.408030
2025-07-23,59.139732,28.923724,59.999179,23.000522,40.005409
2025-07-24,59.970545,29.478010,59.904477,23.506198,40.352721
2025-07-25,60.351853,29.729418,60.797706,23.782112,40.669337
2025-07-28,60.398874,31.380300,60.081103,25.399822,41.177194
2025-07-29,60.963967,31.690569,60.599451,25.694273,40.887247
2025-07-30,61.135277,32.304237,60.458175,26.262085,41.111555
2025-07-31,60.864857,28.720062,59.016944,22.858040,40.342143
2025-08-01,59.159826,27.453025,56.749879,21.643676,37.593048
2025-08-04,61.422676,30.066673,61.668825,24.146227,40.163771
2025-08-05,60.861224,28.208967,57.858676,22.320119,39.135909
2025-08-06,61.744435,28.687935,58.674101,22.940992,40.927976
2025-08-07,62.502563,28.460414,59.855576,22.541417,41.378233
2025-08-08,64.491029,28.676448,61.397587,22.615962,42.718544
2025-08-11,64.162894,26.728449,61.189804,20.631177,42.206945
2025-08-12,65.144251,28.485935,64.264376,22.261204,44.096267
2025-08-13,65.619275,29.765045,64.073917,23.571730,44.155744
2025-08-14,65.758455,29.450130,62.958919,23.245623,44.055408
2025-08-15,65.809740,27.200513,62.610713,21.183130,43.327835
2025-08-18,65.629394,27.888812,63.050820,21.844318,43.338047
2025-08-19,65.424742,26.648146,61.368740,20.657296,41.349463
2025-08-20,64.466819,26.863498,60.609775,20.884754,40.532250
2025-08-21,64.373585,25.971890,60.897017,20.048395,39.885546
2025-08-22,66.502784,26.419218,63.727863,20.475683,42.034606
2025-08-25,66.720226,25.568544,63.646754,19.635379,41.596320
2025-08-26,66.804365,25.996756,64.386184,20.022391,42.198834
2025-08-27,67.135176,26.649584,64.451967,20.671264,42.444003
2025-08-28,68.270787,27.282621,66.272594,21.243884,43.275725
2025-08-29,68.070746,28.837177,65.686250,23.006036,41.534729
2025-09-02,67.169600,27.995772,64.345708,22.262510,40.420662
2025-09-03,71.585473,28.034298,66.760132,22.282812,41.531223
2025-09-04,72.970235,29.669394,70.610067,23.773833,42.849953
2025-09-05,73.363356,31.798011,71.331757,25.760322,42.967396
2025-09-08,73.508310,32.065832,74.199545,25.995684,43.631454
2025-09-09,74.436518,32.666572,74.919340,26.489688,44.099903
2025-09-10,72.923427,32.740173,76.305825,26.518567,44.157137
2025-09-11,73.757990,34.459825,79.200107,28.024831,45.023261
2025-09-12,74.062810,34.000635,79.454729,27.454190,45.625469
2025-09-15,76.787265,36.149824,81.969242,29.520458,46.843981
2025-09-16,77.156766,36.027787,82.657135,29.365923,46.725936
2025-09-17,76.840368,36.407034,82.907921,29.708703,46.420322
